base,digits,unique_cycle_ids
2,31,0
2,32,0
2,33,0
3,31,32
3,32,22
3,33,36
4,31,0
4,32,10
4,33,0
5,31,753
5,32,411
5,33,1138
6,31,1100
6,32,1990
6,33,2222
7,31,1573
7,32,460
7,33,2292
8,31,8143
8,32,15160
8,33,10324
9,31,12405
9,32,7148
9,33,29575
