base,digits,unique_cycle_ids
43,6,192
43,7,3545
43,8,1089
44,6,475
44,7,254
44,8,1270
45,6,233
45,7,2648
45,8,2266
46,6,84
46,7,232
46,8,654
47,6,453
47,7,3921
47,8,1314
48,6,102
48,7,3778
48,8,488
49,6,459
49,7,4499
49,8,572
50,6,255
50,7,341
50,8,123
51,6,988
51,7,5876
51,8,618
52,6,59
52,7,398
52,8,622
53,6,884
53,7,314
53,8,1162
