base,digits,num_cycles,fixed_points
2,31,0,15
2,32,0,16
2,33,0,16
3,31,588701727168684,5
3,32,1470431223214200,5
3,33,5317174933039950,5
4,31,0,35
4,32,7186819483908576,45
4,33,0,41
5,31,4596829107513012743220,2
5,32,22891401434754813030620,2
5,33,115217227946830463892360,2
6,31,1183490296684472884751216,12
6,32,7117072401166432172198890,16
6,33,42639165577196663086815010,14
7,31,126059194241068887954955922,13
7,32,768666548509866044158756230,7
7,33,6234667581045882548010045628,15
8,31,9531830355502762364629206294,5
8,32,77569780637121575057464298872,8
8,33,613264581227848731172598446456,7
9,31,381516661202674420747613012670,3
9,32,3078858596627420092920369460536,4
9,33,30902821120972404771047295540570,4
