base,digits,num_cycles,fixed_points
2,37,0,18
2,38,0,19
2,39,0,19
3,37,433279505487216300,6
3,38,1121479387592431326,6
3,39,3909441595010287776,6
4,37,0,51
4,38,5566626648005837026,63
4,39,0,58
5,37,72401813965857396191849340,3
5,38,345719577085920587864867384,2
5,39,1813185482888273395702384548,3
6,37,55541856367763366281114926726,16
6,38,336461206430925381197366676196,24
6,39,2009889006718978497273354873754,19
7,37,14833570139066774134940185019248,19
7,38,96039656651982292709157910088106,11
7,39,735502576324301251383832821851228,21
8,37,2536352104385732032663916242777920,7
8,38,20203751093142360623607724632590084,11
8,39,162814269903188725559718769268731392,9
9,37,202754553572329908356845688499481140,4
9,38,1802959930986007561609996524965291544,5
9,39,16423192063017274147358874449658244224,4
