base,digits,unique_cycle_ids
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
2,14,0
2,15,0
2,16,0
2,17,0
2,18,0
2,19,0
2,20,0
2,21,0
2,22,0
3,9,5
3,10,1
3,11,6
3,12,5
3,13,9
3,14,1
3,15,11
3,16,8
3,17,13
3,18,3
3,19,17
3,20,9
3,21,19
3,22,11
4,9,0
4,10,0
4,11,8
4,12,0
4,13,0
4,14,7
4,15,0
4,16,0
4,17,9
4,18,0
4,19,0
4,20,16
4,21,0
4,22,0
5,9,0
5,10,16
5,11,13
5,12,28
5,13,33
5,14,31
5,15,52
5,16,37
5,17,108
5,18,36
5,19,183
5,20,64
5,21,178
5,22,97
6,9,18
6,10,21
6,11,20
6,12,76
6,13,58
6,14,170
6,15,145
6,16,159
6,17,175
6,18,176
6,19,328
6,20,461
6,21,457
6,22,360
7,9,26
7,10,63
7,11,0
7,12,71
7,13,47
7,14,33
7,15,83
7,16,174
7,17,46
7,18,91
7,19,303
7,20,448
7,21,331
7,22,391
8,9,72
8,10,93
8,11,110
8,12,174
8,13,240
8,14,347
8,15,240
8,16,718
8,17,966
8,18,956
8,19,953
8,20,1010
8,21,829
8,22,1588
9,9,31
9,10,112
9,11,80
9,12,192
9,13,502
9,14,266
9,15,845
9,16,166
9,17,289
9,18,182
9,19,754
9,20,498
9,21,1684
9,22,1327
10,9,56
10,10,139
10,11,302
10,12,231
10,13,407
10,14,464
10,15,1507
10,16,1305
10,17,1963
10,18,1848
10,19,1970
10,20,3008
10,21,7416
10,22,10516
11,9,84
11,10,181
11,11,276
11,12,158
11,13,685
11,14,484
11,15,480
11,16,381
11,17,3534
11,18,683
11,19,5494
11,20,5795
11,21,7117
11,22,2566
12,9,96
12,10,210
12,11,285
12,12,723
12,13,1002
12,14,1832
12,15,507
12,16,4899
12,17,2174
12,18,8261
12,19,2493
12,20,21678
12,21,23930
12,22,33983
13,9,307
13,10,219
13,11,368
13,12,800
13,13,1616
13,14,798
13,15,3651
13,16,2386
13,17,11079
13,18,7228
13,19,28438
13,20,19291
13,21,9508
13,22,15288
14,9,417
14,10,414
14,11,1209
14,12,1233
14,13,996
14,14,5757
14,15,714
14,16,13180
14,17,2097
14,18,23781
14,19,9633
14,20,117342
14,21,16383
14,22,233503
