base,digits,fixed_point_values
11,23,"894616215761368974635400,895423511156860193383800"
11,24,6805257010384024773503080
11,25,"107263656114962105488113000,108338105131451169668107800,108346985380801573074340200"
11,26,1180885129368481923819468520
12,23,"4767803280036417714590068,4817954434587180755656216,6569987372181061498631533,6624705566048244763744513"
12,24,"43361916555549046259140050,57811699325053584887627992,71612889181906511860522442,79395770474588058571924129,79496846763335748582211585"
12,25,"693188410331730445528797544,693789272402174810267372824,859952790003775018237146746,953305167703472023451435281,953961786029878222632791041"
12,26,"8238764156647374365506982260,8325436764986165943602100760,11446333076542648128477372289,11447545992007620408600821761"
