base,digits,fixed_point_values
10,31,"8643333333333319766666666666532,8886664443322199977766555333112,9876543333333209876666666543211,9877655433332109887666654432211,9877765554321109888765444322211,9987654333333209876666665432101,9987765543332109887666544322101,9987776555421109888754443222101,9998765433333209876666654321001,9998776554332109887665443221001,9999876543333209876666543210001,9999877655432109887654432210001,9999987654333209876665432100001,9999987765542109887544322100001,9999998765433209876654321000001,9999999876543209876543210000001,9999999987654209875432100000001"
10,32,"63333333333333317666666666666664,88664433333332199776666666553312,88776654443221999977765554332212,97533333333333308666666666666421,97755333333333108866666666644221,97775553333331108886666664442221,97777555533311108888666444422221,97777755555111108888844444222221,98876654433322099877666554332111,98877665544221099887755443322111,99753333333333308666666666664201,99775533333333108866666666442201,99777555333331108886666644422201,99777755553311108888664444222201,99887665443322099877665543321101,99975333333333308666666666642001,99977553333333108866666664422001,99977755533331108886666444222001,99977775555311108888644442222001,99988766544322099877655433211001,99997533333333308666666666420001,99997755333333108866666644220001,99997775553331108886664442220001,99997777555511108888444422220001,99998876654422099877554332110001,99999753333333308666666664200001,99999775533333108866666442200001,99999777555331108886644422200001,99999975333333308666666642000001,99999977553333108866664422000001,99999977755531108886444222000001,99999997533333308666666420000001,99999997755333108866644220000001,99999997775551108884442220000001,99999999753333308666664200000001,99999999775533108866442200000001,99999999975333308666642000000001,99999999977553108864422000000001,99999999997533308666420000000001,99999999997755108844220000000001,99999999999753308664200000000001,99999999999975308642000000000001,99999999999997508420000000000001"
10,33,"555555555549999999999944444444445,864333333333333197666666666666532,888666444333221999777666555333112,987654333333332098766666666543211,987765543333321098876666654432211,987776555433211098887665444322211,998765433333332098766666665432101,998776554333321098876666544322101,998777655543211098887654443222101,999876543333332098766666654321001,999877655433321098876665443221001,999877765554211098887544432221001,999987654333332098766666543210001,999987765543321098876654432210001,999998765433332098766665432100001,999998776554321098876544322100001,999999876543332098766654321000001,999999877655421098875443221000001,999999987654332098766543210000001,999999998765432098765432100000001,999999999876542098754321000000001"
