base,digits,fixed_point_values
11,17,500389103347393800
11,18,4994658739444173120
11,19,61103453271743646600
11,20,464799441751802371460
11,21,"7326247444815578500200,7399637935314780204600"
12,17,"1596724988607358324,2200265677925479021"
12,18,"14521813289880987090,19360673136176076760,23981709057255836810,23982894841463491274,26623078619371614721"
12,19,"232147045130754860392,319259854224843431185"
12,20,"2759145060043710054772,2788121851534372639000,3453552380912249678282,3833756936509311571969"
12,21,"25093701068427927864786,33455798260084136289496,37286983915764035572119,37606648799393553514635,37633287539696013095931,46002478167620347518145"
12,22,"401150653774417417585000,501172113647145075857150,543638378178870954133561,552061402241178454990849"
13,18,81402631830095130312
13,20,"13757044783443040779912,17288568196298384017632"
13,22,2324940568455914420612904
14,18,"229857814047462912675,360700006617159086475,426853079614923022321"
14,19,5023664765978766990225
14,20,"76737000854726185263082,83667894580944809475873"
14,21,630729919530297079702755
14,22,"15124148904673597235118828,16398973011535061216687041"
