base,digits,num_cycles,fixed_points
2,34,0,17
2,35,0,17
2,36,0,18
3,34,13453486278929872,5
3,35,48006169656235224,6
3,36,122952012631833024,5
4,34,0,51
4,35,200566881275719910,45
4,36,0,58
5,34,566420333501538246232660,2
5,35,2888902769579862996948720,2
5,36,13982405915302130595037892,2
6,34,257747405326048850229886122,19
6,35,1534655999249772658904098146,16
6,36,9321780144623473246646728614,21
7,34,42567112262072025658593065686,8
7,35,301729457287895752067766739104,17
7,36,700666312770333534179216308358,9
8,34,4933499918242443035876912534048,9
8,35,38500309735999739734261833184270,11
8,36,307753917982052867517676751652824,12
9,34,273606661579230733999620712239816,4
9,35,2503154962503786567111690924748890,4
9,36,22167320181070829316101578306547784,4
