base,digits,num_cycles,fixed_points
43,4,3418758,0
43,5,147008400,0
44,4,3748052,0
44,5,164916180,0
45,4,4081140,1
45,5,0,1
46,4,4477410,0
46,5,205962930,0
47,4,4879634,0
47,5,229344960,0
48,4,5308368,0
48,5,88310,1
49,4,5764752,0
49,5,282475200,0
50,4,6165950,1
50,5,312499950,0
51,4,6765150,0
51,5,0,1
52,4,7311564,0
52,5,380203980,0
53,4,7890428,0
53,5,418195440,0
54,4,8503002,0
54,5,112310,1
55,4,9121530,1
55,5,503284320,0
56,4,9834440,0
56,5,550731720,0
57,4,10555944,0
57,5,0,1
58,4,11316438,0
58,5,656356710,0
59,4,12117302,0
59,5,714924240,0
60,4,12493380,1
60,5,139190,1
61,4,13845780,0
61,5,844596240,0
62,4,14776274,0
62,5,916132770,0
63,4,15752898,0
63,5,0,1
64,4,16777152,0
64,5,1073741760,0
