base,digits,num_cycles,fixed_points
11,13,34522712143920,0
11,14,379749833583230,0
11,15,4177248169415640,0
11,16,45904346307674470,1
12,13,106990819940004,1
12,14,1278788823212942,4
12,15,15406981444900760,2
12,16,184788432866177844,2
13,13,302875106592240,0
13,14,3538590431511960,2
13,15,51185893014090744,0
13,16,622454612811377060,1
14,13,767929791863962,1
14,14,11005281895140078,2
14,15,155116204206633306,2
14,16,2175004911265908722,1
15,13,1946189628905340,1
15,14,29192904587714350,1
15,15,425868887345782250,3
15,16,6564897138267059970,2
16,13,4497117185267772,1
16,14,71606501704973384,6
16,15,1108923158194731856,3
16,16,18337503982762618224,7
