base,digits,num_cycles,fixed_points
34,2,1122,0
34,3,0,1
34,4,1336302,0
34,5,45435390,0
34,6,1543090992,2
34,7,52523350110,0
34,8,1581956799004,1
35,2,816,1
35,3,42840,0
35,4,1488830,1
35,5,52521840,0
35,6,1756406510,1
35,7,64339296840,0
35,8,2251875390590,0
36,2,1260,0
36,3,0,1
36,4,1679580,0
36,5,48950,1
36,6,2176754220,1
36,7,68625694284,1
36,8,2820987986908,1
37,2,1296,0
37,3,50616,0
37,4,1874124,0
37,5,69343920,0
37,6,2565726372,0
37,7,94931877096,0
37,8,3512479453884,0
38,2,1332,1
38,3,0,1
38,4,2085098,0
38,5,79235130,0
38,6,3010904996,1
38,7,114415582554,0
38,8,4347792138458,0
39,2,1216,0
39,3,59280,0
39,4,2313402,0
39,5,0,1
39,6,3518743722,0
39,7,137231006640,0
39,8,5351845530330,1
40,2,1560,0
40,3,0,1
40,4,0,1
40,5,102399960,0
40,6,4089400320,2
40,7,139194056344,1
40,8,6553501241160,1
41,2,1440,1
41,3,68880,0
41,4,2825720,0
41,5,115856160,0
41,6,4729471940,1
41,7,194754273840,0
41,8,7984925229080,0
42,2,1722,0
42,3,0,1
42,4,3111654,0
42,5,67190,1
42,6,5488993272,1
42,7,230539333206,0
42,8,9621625193110,2
