base,digits,fixed_point_values
4,28,"60047994852649641,65677494185536149,66029336849459541,66051322791236949,66052680001869141,69055194107390625,70462568789617233,70550528662873425,70556021930218833,71306993921075841,71658837440637249,71680826616223041,71682196714902849,71869943874497025,71957904603391233,71963401104545025,71963740410828033,72010681362851841,72032671394075649,72034044726563841,72045865734938625,72051363091730433,72051705631821825,72054661827952641,72056036016078849,72056120857149441,72056860851175425,72057204246904833,72057410606858241,72057496303566849,72057548045287425,72057569313554433,72057582402928641,72057590984474625,72057593098403841"
4,29,"258206378188516005,263835876716096085,264187716158793045,264209689215653205,280724376325368465,282131750202288465,282219706854315345,282225187236697425,286353875859581505,286705718573835585,286727704528180545,286729061741712705,287761250743134465,287849210666718465,287854703946585345,288113094464021505,288135083689923585,288136453800940545,288201055394238465,288206551945662465,288206891263545345,288223045626773505,288224419009347585,288228543184830465,288228885774270465,288229917574037505,288230002461507585,288230261170110465,288230347064213505,288230368518078465"
4,30,"768613603396113750,960767919789877929,1050839911531981461,1056469406838335829,1056821233396127061,1056843154913318229,1104883107865733793,1127401105197279825,1128808475852973393,1128896419620083025,1128901848462611793,1140911904884697729,1146541403613604161,1146893243106628929,1146915216176010561,1149919104139438593,1151326478217684225,1151414434920027393,1151419915314746625,1152170903953123329,1152522746868700161,1152544732873315329,1152546090098447361,1152733853906542593,1152821814031437825,1152827307361390593,1152874591394889729,1152896580822056961,1152897950982422529,1152909775766945793,1152915272519450625,1152915611883732993,1152918571859836929,1152919945442754561,1152920770882568193,1152921113669402625,1152921320636284929,1152921405709352961,1152921458066849793,1152921492393033729,1152921500848750593"
5,2,8
5,4,392
5,9,1831056
5,11,48217776
5,13,1217651376
5,15,30502319376
5,16,144640604656
5,17,762863159376
5,18,3774960835776
5,19,19073104859376
5,20,95168749491376
5,21,476835250859376
5,22,2383192380269376
5,23,"11320075681132656,11920919418359376"
5,24,59599677721659376
5,25,"295018957507225776,298023176193359376"
5,26,1490091284116109376
5,27,"7435559265075191376,7450580358505859376"
5,28,37252778808275859376
5,29,"186189408263852519376,186264513731005859376"
5,30,"884681820678405272656,931321953733762109376"
6,3,105
6,5,5600
6,6,"27195,33860,42925"
6,8,"1275170,1657225"
6,9,6018495
6,10,"45962330,47681900,56319925,60331825"
6,11,"277695950,348285175"
6,12,"1305060855,2151904825,2175976225"
6,13,"10363227560,12973622725"
6,14,"59994427550,60063064790,73115587525,78214899025,78359327425"
6,15,"282074706375,375273224900,451814966575,469662556825"
6,16,"2240755531280,2724011240875,2789618448025,2820214317025,2821080887425"
6,17,"12976525078790,16816439336725,16923524878225"
6,18,"60934667903655,77844344441270,81138110273900,94784064578725,100977364668925,101371007911825,101554583125825,101559782548225"
6,19,"484085916460160,585644117696575,608698419362425,609340932611425"
6,20,"2803033906816550,2923797436702100,3530804436403675,3615503087524825,3652662888066025,3655024747523425,3656126198807425,3656157395341825"
6,21,"13162123365560295,17528679074036060,21201766348646275,21794656906494325,21932982716489425,21936837795983425"
6,22,"100906023246737990,104565535817472800,122845794997015525,130869579820311325,131377771727038225,131600730530285425,131614901687029825,131621510394733825,131621697573940225"
6,23,"605459085377725670,631641963153847940,759014542095222175,785319117303213325,788876460650301625,789706415510272225,789729545987236225"
6,24,"2843027110326017895,3786297180459849980,4576027024684462075,4685725885250107225,4733868594189882025,4736917745630243425,4738255498449726625,4738340525390193025,4738380177636417025,4738381300711655425"
6,25,"22586262938893656800,22742767772469552500,27478101920219901475,28245993944179417525,28403821395427364425,28425165455509894225,28430145184669717825,28430283967531501825"
6,26,"130778471828816268710,130779297855017147750,136438325842737941540,159209369218485933925,164890551293432537875,169607602297755279325,170265795461149150225,170554651714787799025,170572946623429967425,170580973140346866625,170581483301989665025,170581721215467009025,170581727953918439425"
6,27,"614094160510501502055,817843880991935043260,983687112713646289375,1017777252419210450125,1022384604562967546425,1023331569270455227825,1023459633630950406625,1023489512005909348225,1023490344703080052225"
6,28,"4878636654080241553760,4912569494415664316180,5930553573684608422075,6072708060698261851225,6106795153147941474925,6135097459173877923625,6139046618154241149025,6140779755676073041825,6140889525127926052225,6140937684229427447425,6140940745199284237825,6140942172680148301825,6140942213110856884225"
6,29,"28248333211562541068390,29470810206860232150500,35611752339510381218275,36606833748605955222325,36811374586839340186825,36839018699701882764625,36844700487946808853025,36845468874109779925825,36845648144359533575425,36845653140542557799425"
6,30,"132644349638744914422375,169489820848655454163430,176654411134686382557500,176857240383426504274100,206335605757148189133925,213698944934465017995475,219811587876052115448925,220664514798134036023825,220869037352832113766025,221038851188987732458225,221062546142869911810625,221072944968000903167425,221073603584712021229825,221073892539321029601025,221073910905140170343425,221073919470025354727425,221073919712609606221825"
7,11,1922263344
7,13,"94197649008,96503566608"
7,15,"4615731883344,4728721980144,4744863403344"
7,17,"226171191723408,231707706601008,232498637278608,232611627241008"
7,19,"11082390700389744,11353679929526544,11392435533669744,11397972048412944,11398762978149744"
7,20,77852854787906052
7,21,"543037160460562608,556330332688400208,558229357292357808,558500646521360208,558539402124562608,558544938632720208"
7,22,"3814790576966722200,3896245168015046400"
7,23,"26608820975557689744,27260186414721866544,27353238620316729744,27366531792544432944,27368430817147449744,27368702106369866544,27368740861926969744"
7,24,"186924743117844314052,190916018079252553452,191486200216590822852"
7,25,"1303832228593257517008,1335749135112302314608,1340308693186451552208,1340960058625615594608,1341053110831209517008,1341066404003430634608,1341068303027987552208,1341068574316887274608"
7,26,"9159312446699655519000,9354884919808699603200,9382823844538557279000,9386815119499925164800"
7,27,"63887779206606133236144,65451707626039328452944,65675125971672642036144,65707042878191686699344,65711602436265834996144,65712253801704992452944,65712346853910540276144,65712360147082438699344,65712362046104736756144"
7,28,"448806310125760068990852,458389361308103269470252,459758368619866578059652,459953941092975581790252,459981880017705156990852"
7,29,"3130501181162456132756208,3143017166177084182676208,3207133673714682698513808,3218081172650715065031408,3219645101070148260113808,3219868519415781572756208,3219900436322300610833808,3219904995880374713031408,3219905647245813547793808,3219905740298016836756208,3219905753591172923153808"
7,30,"21991509197824581980117400,22461078705759398843961600,22528160064035801247317400,22537743115218144407443200,22539112122529907433557400,22539307695003014459961600"
8,2,21
8,3,252
8,6,"147420,213402"
8,7,1711962
8,8,16092433
8,9,76545756
8,10,1068263553
8,12,"39258683100,57497839826,58573445322,68675650561"
8,14,"3680015145170,3749808363210,4238480197777,4397695901697"
8,15,"20104741893852,34466323678857"
8,16,"280198446204033,281472171835393"
8,17,"1928777470199370,2246055426405441"
8,18,"10293902736996060,15113553016669842,18004186265428993,18014376070479873"
8,19,"123446173355095626,144069232977617409"
8,20,"1111665157782783121,1152839806654423041,1152921325094830081"
8,21,"5270495793603524316,7738144170874128018,7882540833926690442,7900590416808228426,9037718476146488457,9223004396068868097"
8,22,"63240510239193313866,72446145023056131145,73456925520245695617,73786322711218814977,73786974858742071297"
8,23,"588810581873039352897,590292869232418390017"
8,24,"2698494972225515271900,3963229355297008137362,4047410678505273406026,4711639832695388611137,4719726076672905126913,4722361254200690081793,4722366471380876132353"
8,25,"37767050035071831319041,37778908333946863616001"
8,26,"259034427609911651054154,291434838478701945037969,302145641702263240856065,302210331654083372982273,302231413074305652621313,302231454811747141025793"
8,27,"1381629497837062688978652,2072421862176593649177162,2369266865316959280538761,2417756584606175706288129,2417851450997175964663809"
8,28,"16233387603999617436497042,16535692845879569568347274,16573481001114563584570442,16578204520518937834533450,18991923080023017964545097,19256440182434424006190209,19342126608222914372734977,19342644127837475429744641,19342812779199253666856961,19342813113098785574092801"
8,29,"132635072970782035118232138,151973172797671487436595785,154353826719374141811401793,154741744473687873217396737,154742503404815875284402177"
8,30,"707394307504262153839163100,1038979318171049986874254482,1235132919014891884253094465,1237249055834183132586255361,1237934547240491055518613505,1237938687397407543974690817,1237940036608301769871589377,1237940039279498025129476097"
9,5,41520
9,8,31531872
9,9,326952560
9,10,2598744000
9,11,23087388720
9,13,1901588877840
9,14,"16838844110112,19656251882912"
9,15,154312292512560
9,16,1386833627452800
9,17,"12276176375647920,16416600735609280"
9,18,"112539509113431072,130863795453329600"
9,19,"1011048315431287440,1162950280084794800,1348506488996476480"
9,20,"8949385957183846752,9117554105794656000"
9,21,"82045015810959088560,109397882073423718720"
9,22,737057996621465649600
9,23,"6524106686502185331120,6646997201036899979280,7739836222840557987440,8862748156129703331520"
9,24,"59811117333144799151712,68685912974738573364512"
9,25,"537315585285391337393040,538418931567131813127600,717896278020147408890560"
9,26,"4756074124680921282933792,4845685280445983380065600"
9,27,"43602328901225126493712560,50861050893330178372442480,58149721615994713071472960"
9,28,"391703086438665214428854400,392509370704275945539275872,457111326645451825430211200"
9,29,"3467178065260277798743510320,3532506539437211098709329680,4055931969399198441848509040,4710128558762836715351348800"
9,30,"31786099742587477676450686752,31793338793939713214381976000"
10,3,495
10,4,6174
10,6,"549945,631764"
10,8,"63317664,97508421"
10,9,"554999445,864197532"
10,10,"6333176664,9753086421,9975084201"
10,11,86431976532
10,12,"555499994445,633331766664,975330866421,997530864201,999750842001"
10,13,8643319766532
10,14,"63333317666664,97533308666421,97755108844221,99753308664201,99975308642001,99997508420001"
10,15,"555549999944445,864333197666532"
10,16,"6333333176666664,9753333086666421,9775531088644221,9975333086664201,9977551088442201,9997533086642001,9999753086420001,9999975084200001"
10,17,"86433331976666532,98765420987543211"
10,18,"555554999999444445,633333331766666664,886644219977553312,975333330866666421,977553310886644221,997533330866664201,997755310886442201,999753330866642001,999775510884422001,999975330866420001,999997530864200001,999999750842000001"
10,19,"8643333319766666532,9876543209876543211,9987654209875432101"
