base,digits,fixed_point_values
2,31,"1073741823,1610612733,1879048185,2013265905,2080374753,2113929153,2130706305,2139094785,2143288833,2145385473,2146433025,2146955265,2147213313,2147336193,2147385345"
2,32,"2147483647,3221225469,3758096377,4026531825,4160749537,4227858369,4261412737,4278189825,4286578177,4290771969,4292868097,4293914625,4294434817,4294688769,4294803457,4294836225"
2,33,"4294967295,6442450941,7516192761,8053063665,8321499105,8455716801,8522825601,8556379905,8573156865,8581544961,8585738241,8587833345,8588877825,8589393921,8589639681,8589737985"
3,31,"583356464120728,616401881973208,617626130183848,617671585841608,617673300624568"
3,32,"1544178260444692,1841580048966400,1852595962618132,1853004302190784,1853019535179412"
3,33,"5456109770065864,5555246023623304,5558918768255224,5559055135228504,5559060279577384"
4,31,"4131302056384965285,4221374044905843285,4227003527327294805,4227355302345463125,4227377017703978325,4491590026574604945,4514108020684925265,4515515378455713105,4515603270683153745,4581662019122014785,4587291514629694785,4587643341237802305,4587665262767330625,4604180017258866945,4605587388115883265,4605675331933263105,4605680760787391745,4609809516793078785,4610161356487414785,4610183329606882305,4611216891676626945,4611304848580235265,4611310329024303105,4611568735397494785,4611590721603190785,4611592078874722305,4611656696327634945,4611662189857931265,4611678686559862785,4611680056917622785,4611684184116690945,4611684523666571265,4611685558500982785,4611685902077394945,4611685987892854785"
4,32,"15372286725227981481,16813438602765314709,16903510578401290581,16909140009283130709,16909491578142807381,17678129734441675425,18038417701410089553,18060935682635507025,18062342988866671953,18062430674935436625,18254590486745098881,18344662476071283009,18350291958694057281,18350643733762495809,18350665449132610881,18398705674820954625,18421223669736580353,18422631027708679425,18422718919986205953,18434734471839918081,18440363968152900609,18440715794962273281,18440737716541150209,18443741671094657025,18445149042756964353,18445236986775425025,18445242415675953153,18445993470908334081,18446345311407915009,18446367284727726081,18446556420861722625,18446644378570391553,18446649859211853825,18446697158349946881,18446719145359966209,18446720502817095681,18446732342721511425,18446737837053181953,18446741138812436481,18446742509959774209,18446743337827303425,18446743678119575553,18446743887549562881,18446744024854298625,18446744058677166081"
4,33,"49191305801765311830,66100832923634281125,67541984788286712405,67632056712383079765,67637685937106474325,67638036681332184405,71865440446668515985,72225728400752027985,72248246330437834065,72249653430510507345,72249740291944568145,73306592327427074625,73396664303868355905,73402293734951507265,73402645303861269825,73666880297616713985,73689398279647433985,73690805586079864065,73690893272197977345,73756952290164122625,73762581773592187905,73762933548861707265,73762955264278221825,73779470288300969985,73780877647078313985,73780965539556184065,73785099787835162625,73785451615449595905,73785473537225867265,73786507162718633985,73786595107541417985,73786600536627544065,73786859006439194625,73786880980560379905,73786946967368105985,73786952448799145985,73786968957595418625,73786970315794939905,73786974455132585985,73786975829438234625,73786976172700073985"
5,31,"4656237339781176659376,4656612867116943359376"
5,32,"23049860595701596675776,23283061260978380859376"
5,33,"116413444160453734859376,116415321797132568359376"
6,31,"1053785656215358047709280,1061119750393871771179220,1274859419451852056718175,1282222100504192838658675,1319040112640729076808525,1325010601095302520832825,1326237846124702830619825,1326403710801878086086625,1326437801531347642617025,1326442411848325469053825,1326443487469823990951425,1326443517446922136295425"
6,32,"6101640149193119496217190,6365699750375495833016420,7686002301620075262223675,7870231226164889871796825,7914411261228790844966125,7951087118878313429686825,7956204680410804953136225,7957431815738993419589425,7958450698755927131742625,7958592868479220207857025,7958655261430006155997825,7958659213130272864372225,7958660946857926914599425,7958661057052841759053825,7958661108442152865357825,7958661109897658374324225"
6,33,"28651179916834020660772455,38157357587347528780298300,38201334511860804235221620,46152859594629414495256675,47442462066443116762268725,47486638152757161453911725,47707546225576378882810825,47743369156303819546956625,47750732626480221405678625,47751727814543272938479425,47751932358920090277661825,47751960020821957236282625,47751966474550948367668225,47751966654413537239732225"
7,31,"153394557877231639734216144,154007841222702704229542544,157149550012290741456472944,157237161907393137805912944,157685977460156327416776144,157762609952708553982399344,157773557451644586347976144,157775121380064019536472944,157775344798409652803016144,157775376715316171518399344,157775381274874243361736144,157775381926239666384472944,157775382019291758989256144"
7,32,"1077583950705040887182358852,1100592856593846913551078252,1103879843149390631597987652,1104349412657325448421478252,1104416494015601850542358852,1104426077066784191725158252,1104427446074095940909987652"
7,33,"7516333335986249371580590608,7546384220472611548597985808,7700327950604145355971308208,7704620934022442807438593008,7726612895549559068027105808,7727226178815275842473185808,7730367887684618169749228208,7730904315132483755708590608,7730980947625035982267628208,7730991895123972014587105808,7730993459052391447452908208,7730993682470737078460590608,7730993714387643581363948208,7730993718947201542523105808,7730993719598566190756588208"
8,31,"8488645260461890512484143690,9881365657379033823786635841,9900410888752655058785083905,9903514230787164910033043457,9903520302236188926569086977"
8,32,"67909761834614743177217479242,76398498927132452057284420753,79205705552100430468375712257,79222634646654760455040999425,79228118577905223838499864577,79228151699160555746148483073,79228162492847709553323671553,79228162514217279595386765313"
8,33,"362185885737330128254241978076,543273301392215714850673627722,621091813972021215835183719561,633648062858882633745100739073,633800424709871603625088323585,633825251446147682435072000001,633825300017739874567360348161"
9,31,"285551552019801743012208314640,286139490780355881669157940400,381520423230595158552517604800"
9,32,"2527572811872541288056946043232,2575197426819086049555039475200,3003818978726452397417568633632,3385397641569649027842348086464"
9,33,"23172066872207414355752742016560,23177356902982302459264348024720,26992502998005301768666143616880,30903154371415456304235451157440"
