base,digits,unique_cycle_ids
2,37,0
2,38,0
2,39,0
3,37,44
3,38,25
3,39,46
4,37,0
4,38,13
4,39,0
5,37,1289
5,38,528
5,39,1240
6,37,1855
6,38,2518
6,39,2293
7,37,6241
7,38,2178
7,39,6457
8,37,29473
8,38,34887
8,39,46611
9,37,63337
9,38,18025
9,39,27220
