base,digits,fixed_point_values
6,36,"6188654876251292523404129895,8241989411028255025502835260,8251494395767392684419962100,9961060034824658668070690875,9970602041191038936617770675,10199820010274575477598568025,10257078018858225654504018925,10304609081390787823773891625,10311241322674401149718525025,10312831803936701584752619825,10314152134812084397802565025,10314336367027254092646743425,10314380543899068877439058625,10314417223687678491076573825,10314422341797717041816692225,10314424587943945335949761025,10314424730205154937451239425,10314424792619350483259418625,10314424796586367417659777025,10314424798436382617486721025,10314424798488780815809511425"
7,34,"52801613584628458062991474200,53929049973179953355099078400,54090112314401595539680114200,54113121220290401566008480000,54116408206845945283772914200,54116877776353880098619078400,54116944857712156486898674200,54116954440763338731192480000"
7,35,"368300333463339512379676802544,369772826807079219157155655344,377316069579616415614822099344,377526425771020950853943865744,378604031881941687505557122544,378634082765869769665828116144,378788026496559583489947705744,378792319479419600911070265744,378814311441504997202002562544,378818066433640056303718099344,378818602861087921889631362544,378818679493580474115867705744,378818690441079410145928322544,378818692005007829562982099344,378818692228426175083305602544,378818692260343080811419705744,378818692264902633349054082544"
7,36,"2587279065647364627223933115652,2642523448686387896537246075052,2650415503406248363581999304452,2651542939794799858874066555052,2651704002136021501058365115652,2651727011041910307082716155052,2651730298028465850786639304452,2651730767597973785504596475052,2651730834679332061214653115652"
8,34,"4346225059649104319423015850570,4978638334331131326058378110025,5047965092215862521696736584833,5070422745215606348985466916865,5070558177972040988878789214209,5070602049422044695946460135425,5070602314392087351207649083393,5070602400741584581665050591233,5070602400912541142001555341313"
8,35,"34045274303225956236033535354002,34679118946153184770848681993354,34758349526519088337700573258826,34768253349064826283557043151434,34769491326883043526788969763402,39839010497204012207843933233737,40462951318166592968589159507009,40563401309261484311868495663105,40564620204069396070908396339201,40564818817959604701388265750529,40564819206532342238446572535809"
8,36,"185439173516402491600124374791900,272363587150181150686222658380946,278158406235412762487392431805002,318721987800187059262128374223433,323782841125772436543728542884417,324337455188850286108835410682881,324517116412848236727145253339137,324518199874899713846291831717889,324518550846499743502833199087617,324518552966260084744922710671361,324518553657056062588581922734081,324518553658423715071273960734721"
9,34,"208167081584922669524738336587200,208595701701371473233814114650912,239499366509497649828759763809312,277693813835187740145946267206400"
9,35,"1842600580041204299515316695817520,1877318937076231821361784932840080,1877366432489527783596974418398640,2503155504892287196796405270271040"
9,36,"16892436762787957658232378741828192,16896294228972318860917639653686400,19711491050019822380134566435142400,22524488364462622471838092293544384"
