base,digits,fixed_point_values
2,31,"1073741823,1610612733,1879048185,2013265905,2080374753,2113929153,2130706305,2139094785,2143288833,2145385473,2146433025,2146955265,2147213313,2147336193,2147385345"
3,31,"583356464120728,616401881973208,617626130183848,617671585841608,617673300624568"
4,31,"4131302056384965285,4221374044905843285,4227003527327294805,4227355302345463125,4227377017703978325,4491590026574604945,4514108020684925265,4515515378455713105,4515603270683153745,4581662019122014785,4587291514629694785,4587643341237802305,4587665262767330625,4604180017258866945,4605587388115883265,4605675331933263105,4605680760787391745,4609809516793078785,4610161356487414785,4610183329606882305,4611216891676626945,4611304848580235265,4611310329024303105,4611568735397494785,4611590721603190785,4611592078874722305,4611656696327634945,4611662189857931265,4611678686559862785,4611680056917622785,4611684184116690945,4611684523666571265,4611685558500982785,4611685902077394945,4611685987892854785"
5,31,"4656237339781176659376,4656612867116943359376"
6,31,"1053785656215358047709280,1061119750393871771179220,1274859419451852056718175,1282222100504192838658675,1319040112640729076808525,1325010601095302520832825,1326237846124702830619825,1326403710801878086086625,1326437801531347642617025,1326442411848325469053825,1326443487469823990951425,1326443517446922136295425"
