base,digits,num_cycles,fixed_points
11,17,489174779718577488,1
11,18,5538945621637660598,1
11,19,60364783401278609088,1
11,20,672637879244058947846,1
11,21,5669516774127019079506,2
11,22,81402749386839761113310,0
12,17,2205856235869885124,2
12,18,25345310447063722308,5
12,19,318874409367623683548,2
12,20,3778647714708632652156,4
12,21,45981135561185992881660,6
12,22,541427733281781985829894,4
13,17,8650415919381337920,0
13,18,107852851484309411820,1
13,19,1461920290375446110664,0
13,20,18593531231525416858092,2
13,21,247064529073450392704400,0
13,22,2559640611754752251535980,1
14,17,30491346729331195890,0
14,18,426782330815642601834,3
14,19,5976265056406693153794,1
14,20,83343913811118740209602,2
14,21,1171355575953970459155810,1
14,22,16356147859987115011168904,2
