base,digits,unique_cycle_ids
2,34,0
2,35,0
2,36,0
3,34,12
3,35,39
3,36,29
4,34,0
4,35,14
4,36,0
5,34,309
5,35,1325
5,36,340
6,34,1544
6,35,1830
6,36,1742
7,34,1192
7,35,4716
7,36,1311
8,34,19360
8,35,23199
8,36,26762
9,34,4225
9,35,21086
9,36,9946
