base,digits,unique_cycle_ids
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
3,2,0
3,3,1
3,4,2
3,5,0
3,6,1
3,7,3
3,8,0
4,2,1
4,3,0
4,4,2
4,5,3
4,6,0
4,7,0
4,8,5
5,2,0
5,3,2
5,4,0
5,5,5
5,6,5
5,7,10
5,8,11
6,2,1
6,3,0
6,4,6
6,5,1
6,6,6
6,7,13
6,8,19
7,2,0
7,3,3
7,4,7
7,5,9
7,6,11
7,7,24
7,8,22
8,2,1
8,3,0
8,4,9
8,5,10
8,6,2
8,7,23
8,8,41
9,2,2
9,3,4
9,4,10
9,5,10
9,6,9
9,7,18
9,8,21
10,2,1
10,3,0
10,4,0
10,5,18
10,6,25
10,7,41
10,8,35
