base,digits,fixed_point_values
11,16,31739839085364040
12,13,77728651058344
12,14,"924013465340020,1039052057510775,1048030075321515,1282149981815329"
12,15,"8403796176530898,11201862503984152"
12,16,"134342105155721320,184863037102233985"
13,14,"2850132255641064,3251713111191600"
13,16,481672375800761448
14,13,723266716456440
14,14,"9331752154960833,10980503786202301"
14,15,"83767280316795075,141764639085535440"
14,16,2176112295258391113
15,13,1389355821993440
15,14,20712897597370580
15,15,"312734998560383840,402147491539136672,402156679502732672"
15,16,"4689597768745917440,5623649843622613908"
16,13,3843159013107795
16,14,"57288146395301700,57570720883636020,71414745053955105,71417072928187425,72017414864781825,72055081725599745"
16,15,"614890882716891000,983848858518464595,1065811879814329650"
16,16,"15900086233883768115,18282175018356605985,18282773015276577825,18436458489965986305,18436495735953703425,18446101206939213825,18446703876712300545"
