base,digits,fixed_point_values
2,37,"68719476735,103079215101,120259084281,128849018865,133143986145,135291469761,136365211521,136902082305,137170517505,137304734721,137371842561,137405394945,137422168065,137430548481,137434726401,137436790785,137437773825,137438167041"
2,38,"137438953471,206158430205,240518168569,257698037745,266287972321,270582939585,272730423169,273804164865,274341035521,274609470465,274743687169,274810793985,274844344321,274861113345,274869485569,274873647105,274875678721,274876596225,274876858369"
2,39,"274877906943,412316860413,481036337145,515396075505,532575944673,541165879233,545460846465,547608329985,548682071553,549218941953,549487376385,549621592065,549688696833,549722243073,549739003905,549747359745,549751488513,549753454593,549754241025"
3,37,"425267992125932104,449357348722590424,450249575004607384,450282629706294664,450283857009054184,450283903308194104"
3,38,"1125709341082391524,1342512985605999040,1350542833896085156,1350840263564681920,1350851288733143524,1350851700023836480"
3,39,"3977507411723780488,4049775481513755448,4052452160359806328,4052551324464868168,4052555006373146728,4052555145270566488"
4,37,"16921813230168362887845,17290748111384855882325,17313806540381776160085,17315247687865561929045,17315337742266191402325,17315343301397043303765,18397552756065127017105,18489786476175976737105,18495551082603794306385,18495911366177011094865,18495933866583229027665,18766487637539318049345,18789546067373756949825,18790987218159298827585,18791077285754873140545,18791082897662484501825,18858721357907865807105,18864485965173201999105,18864846252048174896385,18864868765649337668865,18864870155432282641665,18881779788000002745345,18883220939623063245825,18883311010520393667585,18883316635622949868545,18887544395523036975105,18887904683235528495105,18887927200138447376385,18887928603116337188865,18888985547403795513345,18889075619138644557825,18889081247542956867585,18889081594989621100545,18889345835373985071105,18889368353114422575105,18889369759394068496385,18889435907366532153345,18889441536608363085825,18889441887356783427585,18889458425364667695105,18889459832481832239105,18889459919347210256385,18889464054864196665345,18889464406450135629825,18889465462239059247105,18889465549941955887105,18889465814082696249345,18889465835813888589825,18889465902043290927105,18889465924032181305345,18889465929524370735105"
4,38,"62964886438078684244649,68867844541459582331541,69236779421851441604949,69259837847549826995541,69261278981839473169749,69261368983463543526741,72409619403817974672033,73885358929508580371025,73977592648794796369233,73983357251924079039825,73983717522303156049233,73983739969932811916625,74770802645252797278849,75139737526520829880641,75162795955530635056449,75164237103017641989441,75164327157419075786049,75164332716550113285441,75361098455611502930433,75453332175773892257025,75459096782214594712833,75459457065791032481025,75459479566198051788033,75508672408201179342849,75531730838087157847041,75533171988885584565249,75533262056484379120641,75533267668392780059649,75545565896348598444033,75551330503665474228225,75551690790553331781633,75551713304157711847425,75551714693941399212033,75554789268385453211649,75556230420060053258241,75556320490970267598849,75556326116076029296641,75557095111394666872833,75557455399158697754625,75557477916074497605633,75557479319055545729025,75557671572146970165249,75557761643933357834241,75557767272350539317249,75557767619800173117441,75557815687335045496833,75557838205127018676225,75557839611419486584833,75557851716132062363649,75557857345425417175041,75557857696186470760449,75557860723331308716033,75557862130499949953025,75557862217377206239233,75557862975131088846849,75557863326768315760641,75557863538080908050433,75557863625834337665025,75557863678817859534849,75557863700596564951041,75557863714000084140033,75557863722787587227649,75557863724952250744833"
4,39,"201487633600038399464790,270749011684068195740325,276651969786624460106325,277020904663717784495445,277043963076222030337365,277045404157735118132565,277045493948252952024405,294360844098416421808785,295836583623282393786705,295928817339270074897745,295934581929205217973585,295934942146807735866705,295934964383331143472465,300263802202003478325825,300632737082446877205825,300655795508158147482945,300657236642451014636865,300657326644075886368065,301739541727900242454785,301831775447237998056705,301837540050380165567745,301837900320762462819585,301837922768392908264705,302108476609374433485825,302131535038435778253825,302132976185935669842945,302133066240340320932865,302133071799472100824065,302200710329742981238785,302206474936235223240705,302206835219824544927745,302206857720234769731585,302223768759835118157825,302225209910685084237825,302225299978296759762945,302225305590208319012865,302229533367358152310785,302229893654297548488705,302229916167914797727745,302229917557701454659585,302230974519238910541825,302231064590200660557825,302231070215319244242945,302231334807209098870785,302231357324176422600705,302231358727170103967745,302231424879201641037825,302231430507670299213825,302231430855131811282945,302231447397199756918785,302231448803543512776705,302231453026699207245825,302231453377510793805825,302231454434073755254785,302231454520998524616705,302231454785916133965825,302231454873871695478785,302231454895840453197825"
5,37,"69120432808875999438472656,72759529200172232043359376,72759576141089202880859376"
5,38,"363768730237960624389159376,363797880321120222412109376"
5,39,"1800793686881065177856425776,1818989168837546340880859376,1818989403542131195068359376"
6,37,"49165424836793187926878498400,49507646072028246327916253780,59814112204037935370329720675,61485432032187353037024860725,61542689187858807704555601325,61828980936601449607832276425,61875406625586742889444710225,61876996964694048498343858225,61884949655315540325784225825,61886239280821728189693474625,61886504365748078656607466625,61886540192518348511788295425,61886547556115913935998861825,61886548551944381146509210625,61886548784278624827239092225,61886548790753678026633396225"
6,38,"284678115841019437079693984870,284678124392850320220798637670,296998130606452014183735005540,297055124692723922425755246260,346564670772904864821531098725,358932425219317595583883899475,369199104163664018393582616925,369256356201862300004865095725,370631664016363519250749879825,370975212067865420312182585225,371260398443060793327801821425,371300191890762473283469621825,371309734778336275893674190625,371317656763588572771973861825,371318762156879590941038932225,371319027218110479649792823425,371319247296842137331617914625,371319278005502368636058625025,371319291482379738400857037825,371319292335946996009865908225,371319292710432169284714983425,371319292734234270891117133825,371319292745334362090078797825,371319292745648751280015540225"
6,39,"1336749453782024369868301256295,1780269718979905877132925201980,1782323010569153309827375281140,2141274579569315226030834260575,2153642303310995556865208972275,2215481136952524010532929154125,2225509055921420516533099994425,2225852598855449244538284438025,2227570349347905095957944488625,2227848903481816855647619091425,2227858445516460689301013979425,2227906161660189640265656185025,2227913899413226767449111677825,2227915489922784870250595629825,2227915704883406489381680602625,2227915749064991881926944001025,2227915755039962685190006093825,2227915756433968147274385383425,2227915756472818466470751207425"
7,37,"18046716339703729158809758229808,18118868513574330511618009109808,18488487409401297417331877907408,18498794862807475364774229877008,18551597562215235739977894985008,18553070055555067486651747349808,18560613298331512643213040147408,18560823654519009218334937102608,18561901260633837915103774229808,18561931311513858037051632149808,18562085255248455811088158227408,18562111540193401224800166985008,18562115295185536283901559827408,18562115831612984149485214229808,18562115908245476701695638547408,18562115919192975637615014985008,18562115920756904056257279507408,18562115920980322396354078229808,18562115921012239264117518867408"
7,38,"126776674216724858008934138472600,126839836424235397854143250187236,129483648985636998205286513836800,129870359666910161090479704552600,129925604049949184359792977158400,129933496104669044826837447912600,129934623541057596322127537836800,129934784603398817964297995112600,129934807612304706770225457158400,129934810899291262313251157352600,129934811368860770243221553836800"
7,39,"884289100645483380147117317462544,887824557165334336479690521908944,905935883060664224814701181799344,906440948277758434284358937959344,909028280548547202624356019542544,909100432722390448256452483329744,909470051618244770882878139085744,909480359071623593109595105639344,909533161771058709205524155222544,909534634264371185231377433908944,909542177507174986108759293799344,909542387863335126962394299239344,909543465469477311380649981782544,909543649464091929276634043085744,909543675749036874690343792982544,909543679504029009749429373799344,909543680040456457614902344022544,909543680117088950166337979085744,909543680128036449096833830742544,909543680129600377477511421799344,909543680129823795551855506262544"
8,37,"2225269706425880219188669947613770,2590341959586619185144843609903681,2595333486154319831230805420089857,2596137086083078961977040109338625,2596146837241542256049359314747393,2596148426152663925093198270038017,2596148429261245825389664724320257"
8,38,"17802138018409377487543341614404170,20027427910474879893183087501714577,20722814907273393173953764146057793,20763301733878076192206565495345665,20767738646382698988727420437733377,20769175936174682593673899178983425,20769184603871094410627071806013441,20769187411643894647879402744971265,20769187428601977377816118837641217,20769187434128345200565392534142977,20769187434139286420426928838148097"
8,39,"94944856841607001518898100277458652,142417262449197553905678401501696586,162815581616624546318750842366796937,166107047715668127080012646097392129,166146979928209732248700340578881537,166153408727639805294670218092871681,166153486736907511647248771736141825,166153499448196484999599483378466817,166153499473065140201971215012724737"
9,37,"151753802488570089191295095095572240,152066267587021658857216833038257200,177375949979695827768116748097235120,202755595903543980065888830430620480"
9,38,"1343255822865113792088276680180727072,1368565506175507563157379281506964800,1368600214067208893495137072363786272,1593883827996169267271002731711780800,1824765162515784159899033477625529600"
9,39,"12314586401121270092869887666380992560,12317398577703376299376773695415451920,14142202289744970894691730825355823280,16423203268252480839465415296728255680"
